"","ABEV3.SA.Adjusted","AZUL4.SA.Adjusted","B3SA3.SA.Adjusted","BBAS3.SA.Adjusted","BBDC4.SA.Adjusted","BBSE3.SA.Adjusted","BPAC11.SA.Adjusted","BRDT3.SA.Adjusted","BRFS3.SA.Adjusted","BRML3.SA.Adjusted","BTOW3.SA.Adjusted","CCRO3.SA.Adjusted","CIEL3.SA.Adjusted","CMIG4.SA.Adjusted","COGN3.SA.Adjusted","CSNA3.SA.Adjusted","CYRE3.SA.Adjusted","ELET3.SA.Adjusted","EQTL3.SA.Adjusted","GGBR4.SA.Adjusted","GOAU4.SA.Adjusted","GOLL4.SA.Adjusted","IRBR3.SA.Adjusted","ITSA4.SA.Adjusted","ITUB4.SA.Adjusted","JBSS3.SA.Adjusted","KLBN11.SA.Adjusted","LAME4.SA.Adjusted","LREN3.SA.Adjusted","MGLU3.SA.Adjusted","MRFG3.SA.Adjusted","MRVE3.SA.Adjusted","MULT3.SA.Adjusted","PETR3.SA.Adjusted","PETR4.SA.Adjusted","RADL3.SA.Adjusted","RAIL3.SA.Adjusted","RENT3.SA.Adjusted","SBSP3.SA.Adjusted","SULA11.SA.Adjusted","SUZB3.SA.Adjusted","UGPA3.SA.Adjusted","USIM5.SA.Adjusted","VALE3.SA.Adjusted","VVAR3.SA.Adjusted","WEGE3.SA.Adjusted","YDUQ3.SA.Adjusted"
"216",15.047215,32.849998,24.22094,37.274063,26.486963,21.254282,21.018187,19.211025,19.77,10.532701,32.716499,9.331904,9.344532,9.933343,10.085572,8.220355,11.373528,20.200005,13.202107,14.755816,7.262561,19.549999,22.480646,10.305147,31.409983,9.626296,16.740335,17.189766,32.850189,4.517252,6.18,9.193686,21.711599,25.136408,22.588844,13.178153,16.51,25.051031,25.933544,24.300974,35.529724,19.022293,9.16726,52.617878,5.4,17.664143,19.990654
"217",15.305003,33.360001,24.456095,37.336639,26.857643,21.648327,20.989695,18.70727,20.09,11.169647,33.902599,9.487435,8.857933,10.003383,10.742901,8.21145,11.974886,20.077888,13.477512,14.620706,7.147738,20.15,22.591404,10.477506,31.682386,11.141093,16.45977,17.463762,33.387371,4.5788,6.26,9.248009,22.083744,25.59771,23.390265,13.119058,16.9,25.069767,26.084539,24.124407,38.308697,19.932474,8.913967,51.579922,5.33,17.946692,20.916651
"218",15.753747,35,25.669495,38.516537,28.158979,22.058455,20.989695,18.912186,20.299999,11.557355,34.396801,9.954031,8.785842,10.309993,10.948928,8.594412,12.506524,21.814264,13.77988,15.662975,7.559187,20.209999,23.01885,10.876651,32.660721,10.965181,16.553293,17.649597,34.541077,4.608237,6.33,9.628523,22.612577,26.407347,24.042585,13.050114,17.559999,25.920002,26.386532,24.040771,37.770512,21.044918,9.537457,52.505665,5.27,18.073351,22.518925
"219",15.715554,34.389999,24.700655,39.419338,28.037874,21.423159,20.581299,20.030693,20.16,11.308115,34.890999,9.761905,8.344298,10.204932,10.703069,8.398479,12.375793,21.377989,13.673955,15.585769,7.348678,20.139999,23.079075,10.949221,32.642143,10.603584,16.27273,17.405054,34.893421,4.597938,6.23,9.535337,22.103329,26.388517,24.22896,12.508411,17.389999,26.508667,26.188351,23.083605,36.596306,20.996758,9.099067,51.776287,5.16,17.732347,22.490017
"220",15.639172,34.91,25.067499,39.329948,27.727747,21.80916,20.761751,20.227076,21.15,11.261958,34.525299,9.963181,8.44342,10.15231,10.643772,8.077857,12.471663,21.517565,13.772177,14.813719,7.166875,21.02,23.33868,10.749648,32.217979,11.06291,16.31949,17.532282,34.215279,4.57114,6.22,9.535337,22.406918,25.776581,23.455498,12.429618,17.77,26.387205,26.093977,23.483198,35.373165,21.926203,8.97242,50.990807,5.08,17.498508,22.624918
"221",15.753747,35.669998,25.011061,40.112247,27.841227,21.575951,20.818739,20.150232,22.5,11.280421,35.661999,10.265096,8.353309,10.704153,10.732718,7.970983,12.497808,21.535025,13.849213,14.969448,7.11845,22.08,23.395672,10.740577,32.143696,10.89677,16.413012,17.737656,34.1712,4.711301,6.38,9.512021,22.573404,25.823828,23.530344,12.449317,17.74,26.004181,25.971294,23.585419,37.105125,21.863598,8.82629,50.532612,4.92,17.167248,22.509289
"222",15.467315,36,24.832342,40.428093,27.780672,21.873493,20.543306,20.747908,21.639999,11.35427,36.867802,10.457223,8.335287,10.774285,10.821663,7.685988,12.218917,21.439091,13.95899,14.521728,6.789161,21.9,23.440031,10.758718,32.106541,10.613357,16.048277,17.669233,34.549892,4.7805,6.27,9.348965,22.583197,25.219099,22.800577,12.352795,17.299999,26.069523,26.112854,24.031481,36.351673,21.959911,8.397639,47.082104,4.95,17.225708,21.863689
"223",15.419576,33.110001,24.822935,39.715179,27.379667,21.712658,20.989695,20.747908,21.799999,11.308115,37.164398,10.063819,7.884729,10.599092,10.485648,7.525677,12.070755,21.569937,13.905063,14.404932,6.643886,20.25,23.633141,10.559151,31.577162,10.867453,16.104391,17.493113,33.493069,4.657413,6.08,9.302331,22.475471,25.606503,22.688305,12.246424,16.940001,25.779896,26.093977,24.3939,37.075771,21.791361,8.309961,46.867031,4.95,17.284164,22.11422
"224",15.791938,33.82,26.39377,40.653683,28.499435,22.339916,20.714262,20.978443,22.059999,11.775712,37.4016,10.466372,7.749563,10.87059,10.801897,7.623646,12.375793,22.512323,14.286394,14.307599,6.760107,20.6,24.218939,10.967363,32.64521,11.189959,16.244673,18.089897,34.778915,4.969537,6.13,9.496476,22.749681,26.475801,23.885872,12.370523,17.52,26.163023,26.801771,24.905012,36.21468,22.200701,8.495061,46.680012,4.95,17.586197,23.260883
"225",15.935153,34.470001,26.525455,41.294407,29.081915,23.087793,20.704767,20.756449,22.08,11.943007,38.8447,10.484669,8.218143,10.923211,10.831546,7.712706,12.349647,22.45122,14.338394,14.667723,6.818216,20.9,24.063726,11.221362,33.462482,11.248596,15.945402,19.25411,34.787731,5.007228,6.2,9.512021,22.769268,26.145088,23.745529,12.291729,17.48,26.181662,27.150949,25.090872,35.950489,22.730436,8.465833,48.90554,4.95,17.673883,23.839033
